minute,X,Y,xG,result,player,team
12,0.885,0.5,0.7432776093482971,Goal,Alexis Sánchez,Sevilla
21,0.8469999694824218,0.41200000762939454,0.080501489341259,MissedShots,José Ángel Carmona,Sevilla
24,0.8619999694824219,0.42200000762939455,0.0976950004696846,MissedShots,Isaac Romero,Sevilla
26,0.8640000152587891,0.46099998474121096,0.38175907731056213,SavedShot,Isaac Romero,Sevilla
34,0.8540000152587891,0.4859999847412109,0.3351053297519684,MissedShots,Isaac Romero,Sevilla
36,0.899000015258789,0.445,0.5430456399917603,Goal,Isaac Romero,Sevilla
52,0.7030000305175781,0.325,0.012056758627295494,MissedShots,Alexis Sánchez,Sevilla
54,0.8909999847412109,0.405,0.02885551191866398,MissedShots,Isaac Romero,Sevilla
54,0.885,0.44400001525878907,0.1015581339597702,BlockedShot,Marcão,Sevilla
62,0.8619999694824219,0.4,0.012241082265973091,MissedShots,Marcão,Sevilla
89,0.8809999847412109,0.2979999923706055,0.06617117673158646,Goal,José Ángel Carmona,Sevilla
95,0.899000015258789,0.47900001525878905,0.4245925545692444,Goal,Akor Adams,Sevilla
97,0.924000015258789,0.3220000076293945,0.0702097937464714,BlockedShot,Akor Adams,Sevilla
14,0.755,0.49599998474121093,0.025276167318224907,BlockedShot,Dani Olmo,Barcelona
31,0.9030000305175782,0.49,0.03675113618373871,SavedShot,Jules Koundé,Barcelona
42,0.8859999847412109,0.6509999847412109,0.2481856495141983,SavedShot,Marcus Rashford,Barcelona
45,0.8640000152587891,0.3029999923706055,0.03247298672795296,MissedShots,Robert Lewandowski,Barcelona
49,0.85,0.6840000152587891,0.035021502524614334,MissedShots,Robert Lewandowski,Barcelona
51,0.92,0.5929999923706055,0.2518668472766876,Goal,Marcus Rashford,Barcelona
63,0.924000015258789,0.28299999237060547,0.037636153399944305,SavedShot,Pedri,Barcelona
63,0.905,0.5029999923706054,0.0319252647459507,SavedShot,Eric Garcia,Barcelona
67,0.8680000305175781,0.38,0.09485138207674026,BlockedShot,Robert Lewandowski,Barcelona
67,0.8780000305175781,0.6459999847412109,0.037182729691267014,BlockedShot,Marcus Rashford,Barcelona
70,0.8430000305175781,0.5520000076293945,0.08092151582241058,BlockedShot,Pau Cubarsí,Barcelona
71,0.8019999694824219,0.5109999847412109,0.050001636147499084,BlockedShot,Pedri,Barcelona
75,0.885,0.5,0.7432776093482971,MissedShots,Robert Lewandowski,Barcelona
78,0.775,0.24899999618530275,0.017636768519878387,MissedShots,Roony Bardghji,Barcelona
80,0.870999984741211,0.5120000076293946,0.4012141227722168,SavedShot,Roony Bardghji,Barcelona
89,0.919000015258789,0.33099998474121095,0.31363558769226074,SavedShot,Roony Bardghji,Barcelona
100,0.8880000305175781,0.6819999694824219,0.04444019868969917,SavedShot,Roony Bardghji,Barcelona
